anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,frame
0,23,28.73333333,1,"[20, 20, 32, 25, 29, 24, 27, 34, 36, 28, 33, 21, 34, 35, 20, 21, 37, 25, 25, 37, 34, 32, 31, 33, 33, 20, 34, 28, 25, 29]",30,1,5.656447852,30
0,24,30,1,"[29, 25, 36, 21, 32, 24, 37, 33, 32, 34, 35, 21, 32, 27, 32, 38, 26, 35, 34, 37, 23, 36, 26, 21, 33, 37, 33, 26, 25, 27, 30, 23]",32,2,5.394142582,30
0,23,28.29032258,1,"[34, 20, 30, 27, 33, 25, 32, 20, 31, 20, 25, 27, 33, 30, 26, 31, 30, 32, 28, 26, 36, 21, 32, 34, 28, 32, 21, 22, 29, 33, 29]",31,3,4.684681052,30
0,23,28.03125,1,"[36, 23, 23, 30, 30, 30, 22, 24, 33, 24, 34, 25, 33, 25, 29, 24, 28, 31, 25, 28, 27, 28, 35, 20, 23, 27, 31, 23, 37, 24, 35, 30]",32,4,4.603535633,30
0,24,29.3125,1,"[34, 32, 29, 33, 34, 22, 28, 32, 38, 30, 29, 26, 20, 21, 32, 38, 29, 37, 30, 29, 34, 25, 25, 23, 26, 20, 20, 38, 34, 38, 25, 27]",32,5,5.659348532,30
0,25,30.40625,1,"[35, 22, 34, 28, 33, 26, 27, 29, 27, 35, 33, 38, 26, 24, 35, 38, 20, 28, 30, 30, 26, 36, 37, 35, 36, 38, 38, 23, 34, 30, 22, 20]",32,6,5.707151004,30
0,23,28.625,1,"[27, 36, 22, 24, 35, 31, 34, 20, 28, 35, 31, 30, 24, 23, 32, 25, 29, 32, 27, 33, 34, 24, 36, 30, 25, 25, 20, 20, 32, 21, 35, 36]",32,7,5.320380777,30
0,23,28.5,1,"[25, 24, 31, 36, 31, 36, 33, 37, 24, 30, 31, 25, 22, 23, 31, 20, 30, 27, 35, 32, 30, 22, 31, 37, 24, 35, 31, 20, 28, 24, 20, 27]",32,8,5.267061371,30
0,23,29.90625,1,"[27, 37, 23, 36, 25, 35, 36, 25, 29, 34, 21, 32, 36, 22, 37, 30, 29, 22, 37, 30, 29, 36, 25, 23, 28, 37, 23, 25, 31, 34, 28, 35]",32,9,5.396291289,30
0,22,28.0625,1,"[26, 30, 33, 29, 20, 25, 37, 21, 30, 36, 34, 35, 23, 31, 21, 23, 20, 24, 23, 26, 31, 31, 20, 29, 25, 22, 34, 37, 37, 32, 23, 30]",32,10,5.616436133,30
