anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,frame
23,27,31.65625,1,"[38, 37, 34, 36, 33, 31, 26, 33, 30, 33, 31, 36, 37, 25, 36, 37, 35, 24, 29, 29, 33, 30, 32, 34, 27, 26, 38, 25, 27, 28, 25, 38]",32,1,4.490918255,30
24,29,32.2,1,"[35, 32, 35, 30, 35, 30, 35, 38, 36, 25, 37, 36, 37, 34, 34, 26, 25, 30, 30, 31, 26, 31, 36, 34, 37, 25, 34, 35, 29, 28]",30,2,4.071769928,30
23,28,31.4375,1,"[32, 29, 32, 34, 37, 30, 35, 29, 25, 37, 36, 31, 24, 38, 32, 34, 29, 30, 31, 24, 28, 36, 30, 35, 26, 37, 28, 34, 26, 33, 26, 38]",32,3,4.242165454,30
23,27,30.64516129,1,"[28, 25, 32, 37, 32, 37, 34, 36, 34, 32, 33, 29, 28, 30, 24, 27, 28, 25, 34, 30, 25, 26, 33, 29, 35, 29, 32, 29, 36, 26, 35]",31,4,3.903403533,30
24,29,32.0625,1,"[36, 37, 29, 33, 29, 36, 32, 33, 33, 38, 30, 37, 29, 35, 36, 29, 36, 27, 31, 33, 28, 38, 32, 30, 32, 28, 30, 28, 25, 36, 28, 32]",32,5,3.600515196,30
25,29,33.125,1,"[32, 35, 33, 28, 31, 26, 38, 31, 33, 36, 31, 39, 32, 35, 28, 35, 28, 34, 26, 39, 39, 27, 34, 33, 35, 29, 37, 33, 39, 37, 36, 31]",32,6,3.932905025,30
23,28,32.21875,1,"[37, 38, 31, 37, 38, 35, 34, 36, 35, 28, 36, 31, 26, 30, 24, 31, 34, 38, 31, 27, 32, 28, 27, 30, 31, 25, 31, 36, 35, 26, 36, 37]",32,7,4.255807228,30
23,28,31.65625,1,"[38, 31, 33, 32, 30, 34, 28, 31, 24, 31, 32, 25, 34, 37, 34, 38, 29, 32, 34, 36, 37, 25, 30, 25, 29, 32, 37, 32, 37, 25, 25, 36]",32,8,4.292599596,30
23,29,31.625,1,"[31, 29, 33, 34, 37, 35, 31, 26, 33, 35, 33, 38, 29, 27, 35, 24, 34, 29, 26, 30, 31, 33, 36, 27, 29, 31, 24, 32, 37, 37, 29, 37]",32,9,3.973703887,30
22,27,31.4516129,1,"[31, 23, 34, 28, 35, 26, 33, 30, 25, 36, 36, 35, 27, 37, 31, 31, 23, 35, 36, 35, 28, 37, 31, 36, 27, 25, 33, 36, 26, 33, 36]",31,10,4.478382965,30
24,28,30.375,1,"[28, 33, 32, 31, 25, 25, 28, 38, 32, 26, 33, 30, 36, 32, 29, 27, 29, 34, 30, 32, 29, 25, 31, 28, 34, 31, 34, 31, 35, 29, 30, 25]",32,11,3.348085635,30
23,29,32.53125,1,"[34, 30, 37, 37, 36, 31, 25, 37, 33, 35, 32, 26, 35, 28, 36, 37, 32, 30, 25, 36, 33, 32, 31, 34, 26, 35, 28, 30, 32, 38, 38, 32]",32,12,3.868686324,30
23,28,30.65625,1,"[35, 36, 28, 32, 28, 32, 28, 31, 32, 26, 29, 30, 36, 37, 26, 34, 28, 32, 30, 25, 32, 31, 32, 29, 33, 24, 35, 25, 35, 27, 32, 31]",32,13,3.515948686,30
22,28,31.64516129,1,"[25, 33, 34, 34, 28, 38, 26, 34, 28, 23, 34, 38, 27, 28, 37, 33, 36, 31, 37, 28, 34, 33, 35, 27, 24, 37, 37, 28, 29, 32, 33]",31,14,4.423787119,30
23,28,31.625,1,"[34, 36, 27, 34, 30, 38, 29, 38, 29, 35, 37, 38, 32, 34, 28, 28, 35, 25, 34, 33, 28, 27, 30, 32, 29, 29, 26, 37, 38, 24, 34, 24]",32,15,4.39757998,30
24,29,32.65625,1,"[34, 27, 38, 36, 37, 31, 35, 35, 32, 29, 31, 36, 26, 32, 27, 34, 37, 31, 25, 32, 35, 35, 37, 36, 25, 27, 34, 34, 35, 34, 30, 38]",32,16,3.898795306,30
23,28,32.40625,1,"[36, 38, 37, 30, 24, 25, 37, 34, 34, 38, 31, 33, 36, 35, 34, 26, 36, 31, 37, 25, 29, 30, 26, 31, 36, 38, 32, 32, 36, 27, 31, 32]",32,17,4.249169748,30
21,27,29.65625,0,"[29, 27, 29, 33, 30, 29, 30, 29, 26, 31, 36, 37, 34, 29, 33, 35, 28, 30, 37, 28, 32, 29, 24, 25, 27, 27, 22, 22, 33, 29, 33, 26]",32,18,3.915308046,30
22,29,32.4,1,"[38, 27, 33, 35, 36, 29, 29, 36, 31, 28, 35, 29, 26, 38, 38, 29, 38, 28, 30, 37, 32, 32, 38, 33, 33, 34, 25, 38, 34, 23]",30,19,4.399059461,30
23,28,31.8125,1,"[34, 35, 37, 30, 27, 32, 35, 34, 34, 28, 24, 34, 36, 25, 36, 25, 34, 34, 29, 37, 29, 36, 34, 31, 38, 34, 28, 27, 28, 38, 27, 28]",32,20,4.184745724,30
24,29,32.6875,1,"[36, 29, 28, 38, 27, 37, 35, 38, 29, 32, 30, 38, 38, 37, 32, 32, 35, 28, 27, 28, 34, 34, 29, 32, 30, 31, 28, 38, 33, 32, 34, 37]",32,21,3.754030093,30
23,29,32.34375,1,"[26, 36, 31, 34, 30, 35, 37, 31, 31, 24, 38, 35, 38, 38, 31, 28, 35, 34, 29, 31, 32, 38, 27, 27, 28, 29, 36, 29, 37, 36, 31, 33]",32,22,3.988769517,30
23,28,31.875,1,"[27, 30, 31, 32, 32, 30, 36, 36, 24, 32, 36, 30, 25, 38, 37, 31, 24, 30, 35, 38, 27, 30, 37, 29, 38, 24, 33, 38, 37, 32, 28, 33]",32,23,4.455876873,24
22,27,30.26666667,1,"[36, 33, 35, 23, 29, 30, 33, 34, 37, 31, 24, 27, 29, 29, 28, 23, 31, 35, 31, 24, 32, 30, 34, 24, 31, 34, 34, 31, 30, 26]",30,24,3.990794004,24
25,30,32.90625,1,"[29, 37, 31, 33, 29, 38, 37, 31, 34, 36, 38, 34, 31, 30, 26, 27, 37, 27, 37, 32, 34, 35, 30, 37, 29, 35, 37, 34, 31, 33, 31, 33]",32,25,3.476737208,24
24,28,32,1,"[31, 36, 28, 37, 35, 38, 29, 33, 27, 33, 28, 38, 32, 30, 25, 27, 36, 27, 33, 38, 34, 34, 33, 29, 31, 27, 31, 36, 26, 34, 35, 33]",32,26,3.843721315,24
23,28,32,1,"[24, 36, 34, 34, 36, 33, 38, 38, 33, 34, 25, 26, 35, 28, 29, 36, 37, 24, 38, 24, 33, 31, 28, 31, 38, 33, 35, 32, 31, 32, 33, 25]",32,27,4.47934327,24
24,29,31.84375,1,"[37, 25, 33, 35, 34, 25, 34, 36, 37, 38, 35, 32, 37, 25, 31, 31, 29, 28, 26, 33, 31, 35, 30, 30, 26, 36, 32, 34, 35, 29, 31, 29]",32,28,3.878055507,24
22,27,30.87096774,1,"[29, 24, 31, 35, 24, 34, 30, 34, 34, 30, 24, 37, 31, 25, 31, 23, 29, 37, 23, 36, 35, 32, 37, 32, 33, 37, 28, 29, 30, 36, 27]",31,29,4.507341681,24
24,29,32.375,0,"[32, 38, 30, 29, 26, 35, 34, 29, 28, 33, 38, 33, 38, 26, 37, 35, 37, 34, 32, 30, 28, 29, 28, 34, 30, 37, 38, 29, 38, 35, 27, 29]",32,30,3.98990662,24
25,31,34.34375,1,"[30, 38, 36, 27, 38, 33, 33, 35, 33, 39, 31, 37, 38, 37, 30, 33, 36, 32, 26, 36, 34, 30, 39, 38, 35, 35, 37, 30, 36, 35, 38, 34]",32,31,3.441767878,24
23,28,31.375,1,"[28, 28, 37, 30, 38, 26, 27, 30, 28, 28, 38, 27, 32, 24, 28, 34, 32, 31, 38, 30, 38, 38, 29, 37, 31, 37, 31, 32, 25, 35, 26, 31]",32,32,4.3828846,30
24,28,31.25,1,"[33, 32, 25, 30, 32, 26, 32, 33, 32, 28, 26, 31, 36, 25, 31, 33, 38, 38, 26, 37, 33, 36, 29, 28, 29, 29, 30, 27, 29, 38, 35, 33]",32,33,3.893750162,30
23,29,32.25,1,"[34, 35, 24, 37, 36, 26, 29, 37, 28, 26, 34, 34, 34, 33, 38, 31, 30, 35, 31, 32, 32, 33, 37, 33, 26, 24, 38, 30, 33, 30, 36, 36]",32,34,4.040121365,30
24,28,32.25806452,1,"[31, 30, 37, 27, 26, 28, 37, 37, 36, 37, 32, 33, 37, 29, 27, 35, 33, 28, 37, 27, 34, 36, 28, 26, 38, 29, 38, 33, 37, 32, 25]",31,35,4.320244915,24
22,28,31.59375,1,"[27, 30, 26, 27, 38, 32, 27, 29, 34, 38, 28, 32, 36, 34, 28, 33, 29, 30, 34, 24, 35, 33, 34, 35, 32, 25, 32, 37, 34, 31, 38, 29]",32,36,3.917367245,24
23,29,32.90625,1,"[26, 29, 27, 35, 32, 38, 36, 36, 35, 25, 25, 34, 34, 35, 38, 35, 32, 38, 37, 38, 32, 35, 28, 27, 36, 29, 34, 33, 31, 33, 37, 33]",32,37,3.994830329,24
