anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,frame
23,27,31.6875,1,"[38, 29, 35, 25, 37, 24, 34, 36, 32, 31, 38, 25, 25, 37, 27, 38, 35, 30, 24, 28, 34, 30, 31, 28, 37, 24, 36, 33, 31, 38, 29, 35]",32,1,4.781938465,30
25,30,32.35483871,1,"[33, 36, 37, 36, 33, 32, 35, 34, 38, 27, 28, 31, 32, 29, 31, 27, 33, 31, 31, 37, 33, 34, 30, 32, 38, 34, 34, 26, 30, 35, 26]",31,2,3.401454464,30
23,28,31,1,"[31, 31, 36, 27, 35, 28, 33, 24, 37, 26, 34, 30, 30, 29, 35, 30, 32, 36, 28, 37, 24, 28, 29, 27, 28, 36, 37, 37, 25, 29, 34, 29]",32,3,4.095631032,30
23,27,31.6875,1,"[26, 36, 32, 24, 37, 31, 36, 36, 27, 24, 27, 30, 30, 36, 32, 35, 36, 24, 38, 26, 26, 34, 30, 29, 33, 35, 38, 37, 35, 35, 30, 29]",32,4,4.489683515,30
25,29,31.84375,1,"[37, 34, 28, 31, 28, 29, 29, 29, 36, 34, 31, 26, 29, 31, 27, 30, 38, 35, 31, 37, 36, 29, 28, 32, 28, 38, 30, 37, 38, 34, 30, 29]",32,5,3.725322025,30
26,31,33.84375,1,"[35, 38, 27, 29, 35, 33, 38, 36, 38, 38, 38, 31, 30, 37, 38, 31, 39, 32, 31, 32, 39, 29, 31, 32, 31, 29, 28, 39, 39, 36, 32, 32]",32,6,3.836239548,30
23,27,31.78125,1,"[34, 32, 29, 25, 30, 35, 28, 24, 36, 24, 36, 38, 32, 34, 36, 30, 36, 31, 31, 31, 26, 32, 33, 37, 34, 35, 26, 38, 29, 26, 36, 33]",32,7,4.163856579,30
22,27,30.3125,1,"[28, 33, 26, 29, 35, 30, 28, 29, 37, 37, 26, 32, 28, 30, 32, 30, 23, 34, 27, 31, 29, 35, 34, 36, 24, 25, 30, 31, 31, 25, 36, 29]",32,8,3.855766524,30
24,28,31.40625,1,"[28, 28, 26, 36, 31, 29, 27, 33, 33, 34, 28, 27, 37, 25, 32, 25, 37, 28, 33, 36, 38, 36, 28, 31, 34, 38, 34, 27, 29, 30, 38, 29]",32,9,4.141523602,30
22,26,29.6875,1,"[36, 26, 31, 25, 28, 24, 34, 30, 32, 29, 35, 27, 28, 26, 34, 37, 27, 31, 28, 24, 35, 32, 37, 26, 25, 24, 34, 27, 24, 35, 30, 29]",32,10,4.200134406,30
23,28,30.875,1,"[34, 31, 26, 27, 24, 34, 36, 31, 33, 32, 27, 33, 36, 31, 29, 31, 33, 28, 33, 29, 36, 34, 34, 34, 24, 28, 37, 28, 32, 29, 24, 30]",32,11,3.669842222,30
22,27,30.93333333,1,"[29, 37, 32, 30, 32, 24, 30, 29, 24, 23, 24, 36, 24, 33, 25, 37, 29, 30, 37, 27, 32, 36, 34, 37, 36, 37, 36, 28, 30, 30]",30,12,4.675197457,30
23,28,31.59375,1,"[26, 34, 32, 37, 29, 31, 30, 33, 31, 34, 24, 27, 34, 30, 24, 36, 35, 35, 32, 34, 28, 34, 37, 36, 32, 34, 36, 36, 25, 25, 31, 29]",32,13,3.950168433,30
23,27,31.1875,0,"[35, 38, 26, 27, 24, 30, 38, 35, 32, 34, 34, 27, 37, 28, 25, 32, 29, 24, 25, 31, 33, 32, 30, 29, 37, 25, 33, 34, 31, 32, 38, 33]",32,14,4.306315692,30
23,27,32.40625,1,"[33, 38, 37, 31, 29, 24, 33, 38, 33, 37, 35, 31, 31, 32, 38, 38, 25, 36, 32, 24, 38, 38, 36, 36, 25, 32, 36, 24, 27, 28, 36, 26]",32,15,4.858377368,30
23,28,30.5625,1,"[37, 28, 36, 24, 25, 35, 32, 29, 33, 33, 30, 35, 28, 36, 31, 35, 29, 31, 26, 31, 32, 28, 36, 28, 27, 37, 29, 26, 28, 28, 31, 24]",32,16,3.87662557,30
23,27,31.96875,1,"[38, 37, 31, 32, 25, 36, 35, 34, 29, 34, 28, 37, 26, 31, 31, 35, 33, 35, 26, 26, 36, 26, 29, 31, 32, 31, 37, 26, 32, 33, 38, 33]",32,17,3.955269046,30
21,26,29.25,1,"[34, 26, 30, 27, 37, 33, 26, 25, 23, 36, 22, 23, 23, 29, 30, 27, 31, 32, 28, 28, 28, 27, 37, 37, 29, 26, 29, 26, 28, 37, 25, 37]",32,18,4.628104886,30
22,28,31.28125,1,"[32, 38, 31, 28, 37, 32, 28, 31, 38, 33, 34, 33, 37, 31, 27, 34, 36, 29, 34, 27, 29, 29, 27, 29, 35, 23, 33, 31, 32, 34, 26, 23]",32,19,3.993820832,30
22,27,30.26666667,1,"[33, 33, 34, 23, 30, 28, 33, 35, 23, 33, 24, 33, 30, 28, 37, 24, 33, 25, 34, 29, 29, 23, 33, 34, 27, 28, 37, 27, 33, 35]",30,20,4.322621597,30
23,28,31.6875,1,"[36, 37, 28, 32, 30, 25, 32, 37, 36, 36, 34, 36, 24, 32, 37, 28, 25, 28, 30, 34, 28, 34, 26, 37, 36, 36, 36, 25, 33, 30, 30, 26]",32,21,4.343608579,30
23,28,31.5625,1,"[33, 37, 28, 32, 31, 26, 24, 33, 37, 27, 26, 28, 34, 31, 28, 33, 29, 33, 30, 34, 36, 30, 27, 37, 36, 37, 36, 32, 29, 34, 25, 37]",32,22,3.991422254,30
23,27,31.1875,1,"[24, 26, 35, 29, 38, 36, 31, 36, 35, 27, 30, 31, 28, 35, 30, 26, 35, 36, 26, 35, 29, 31, 28, 32, 28, 29, 29, 38, 26, 37, 24, 38]",32,23,4.387941688,24
22,27,30.1875,1,"[36, 29, 36, 33, 29, 28, 27, 26, 34, 30, 30, 26, 27, 28, 30, 26, 29, 37, 31, 29, 27, 26, 28, 31, 32, 35, 25, 37, 30, 36, 35, 23]",32,24,3.880783925,24
26,32,34.53125,1,"[37, 37, 39, 36, 32, 40, 38, 32, 35, 29, 35, 40, 34, 36, 33, 39, 38, 40, 30, 29, 34, 30, 36, 33, 36, 36, 33, 29, 27, 33, 33, 36]",32,25,3.564922069,24
27,34,35.53125,1,"[30, 34, 39, 40, 34, 34, 37, 34, 37, 32, 29, 38, 30, 38, 34, 36, 35, 38, 30, 39, 34, 37, 37, 38, 40, 34, 35, 39, 36, 33, 36, 40]",32,26,3.110693056,24
23,27,31.38709677,1,"[31, 27, 36, 25, 26, 25, 33, 32, 35, 27, 24, 37, 37, 37, 30, 37, 34, 26, 30, 36, 36, 34, 29, 38, 28, 30, 24, 34, 32, 34, 29]",31,27,4.447301949,24
23,28,30.9375,1,"[29, 24, 27, 32, 33, 26, 30, 36, 35, 33, 33, 36, 28, 24, 26, 36, 32, 33, 30, 31, 36, 34, 30, 24, 30, 29, 28, 34, 35, 31, 33, 32]",32,28,3.662693351,24
22,27,30.28125,1,"[29, 32, 31, 26, 24, 31, 36, 29, 29, 36, 36, 34, 25, 29, 31, 28, 34, 27, 34, 33, 32, 32, 32, 27, 36, 24, 30, 25, 24, 31, 34, 28]",32,29,3.760871339,24
23,27,31.21875,1,"[36, 32, 30, 25, 30, 27, 25, 32, 24, 35, 38, 24, 33, 28, 28, 25, 29, 37, 34, 32, 32, 33, 31, 34, 33, 38, 32, 28, 36, 26, 36, 36]",32,30,4.263380266,24
25,30,32.46875,1,"[33, 34, 36, 30, 29, 33, 38, 33, 35, 28, 34, 35, 36, 33, 32, 33, 29, 26, 33, 26, 38, 32, 34, 36, 31, 31, 32, 32, 32, 30, 27, 38]",32,31,3.242702726,24
23,29,31.65625,1,"[31, 24, 24, 27, 32, 30, 35, 26, 32, 32, 35, 30, 32, 38, 35, 33, 24, 37, 27, 37, 37, 29, 32, 31, 29, 34, 33, 32, 34, 31, 32, 38]",32,32,3.964433613,30
25,31,33.7,1,"[31, 34, 28, 36, 33, 35, 32, 36, 39, 37, 32, 38, 30, 35, 26, 36, 30, 29, 36, 37, 32, 29, 31, 36, 31, 39, 38, 32, 37, 36]",30,33,3.51499252,30
23,28,31.46875,1,"[36, 36, 27, 35, 28, 27, 25, 30, 28, 35, 34, 28, 35, 31, 29, 32, 27, 26, 31, 33, 35, 35, 36, 29, 29, 29, 26, 37, 33, 31, 37, 37]",32,34,3.818329097,30
23,28,31.40625,1,"[31, 32, 28, 25, 33, 36, 33, 34, 37, 29, 31, 31, 34, 25, 36, 28, 28, 26, 36, 32, 31, 34, 35, 34, 30, 37, 27, 24, 33, 33, 27, 35]",32,35,3.75765348,24
