anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,frame
27,32,34.63333333,1,"[36, 39, 39, 32, 32, 37, 30, 37, 32, 30, 32, 39, 39, 34, 39, 39, 39, 29, 30, 31, 36, 35, 36, 37, 37, 32, 34, 34, 30, 33]",30,1,3.378260451,30
30,35,36.4375,0,"[31, 37, 36, 37, 38, 31, 36, 38, 35, 34, 40, 36, 37, 33, 40, 37, 35, 38, 40, 38, 31, 35, 35, 41, 38, 36, 34, 37, 40, 37, 39, 36]",32,2,2.626631597,30
28,32,33.84375,1,"[30, 35, 37, 39, 34, 30, 39, 39, 38, 35, 33, 34, 35, 30, 33, 32, 34, 39, 34, 35, 29, 32, 32, 32, 32, 35, 32, 34, 29, 30, 36, 35]",32,3,2.974183271,30
27,32,34.90625,1,"[33, 38, 34, 39, 36, 38, 37, 28, 39, 35, 34, 36, 30, 36, 28, 35, 30, 31, 39, 33, 39, 38, 34, 36, 37, 30, 36, 37, 35, 34, 38, 34]",32,4,3.206438835,30
29,33,35.6875,1,"[37, 33, 39, 39, 31, 34, 33, 31, 32, 38, 37, 30, 37, 30, 37, 36, 40, 39, 36, 37, 35, 33, 40, 34, 40, 32, 40, 37, 36, 40, 34, 35]",32,5,3.156534441,30
31,36,37.6875,1,"[36, 40, 38, 37, 35, 40, 40, 33, 36, 34, 38, 41, 38, 38, 41, 39, 38, 36, 40, 34, 40, 36, 37, 33, 33, 37, 40, 41, 39, 41, 38, 39]",32,6,2.507247559,30
27,32,33.6875,1,"[28, 34, 32, 32, 28, 33, 32, 37, 36, 35, 29, 34, 32, 35, 33, 36, 39, 39, 38, 32, 39, 33, 38, 33, 28, 32, 30, 39, 28, 38, 34, 32]",32,7,3.505180498,30
27,31,34.1875,1,"[33, 29, 29, 38, 38, 39, 35, 37, 38, 36, 32, 31, 34, 36, 31, 39, 34, 36, 37, 32, 30, 29, 39, 32, 35, 35, 38, 37, 29, 33, 34, 29]",32,8,3.373879742,30
28,32,34.86666667,1,"[37, 31, 34, 37, 39, 36, 33, 29, 29, 36, 35, 30, 35, 35, 37, 33, 36, 30, 39, 35, 39, 38, 33, 39, 34, 34, 38, 39, 31, 35]",30,9,3.115404809,30
26,31,33.5,1,"[35, 29, 35, 35, 34, 36, 36, 33, 31, 39, 39, 35, 34, 36, 31, 32, 32, 33, 34, 30, 36, 31, 34, 33, 37, 30, 30, 32, 28, 34, 29, 39]",32,10,2.962126525,30
28,34,35.6875,1,"[34, 39, 38, 35, 33, 35, 34, 36, 36, 29, 40, 37, 37, 30, 32, 37, 39, 36, 34, 36, 37, 30, 39, 40, 30, 40, 34, 39, 37, 37, 37, 35]",32,11,3.073691697,30
27,31,33.65625,1,"[35, 31, 36, 35, 38, 35, 33, 29, 34, 37, 31, 33, 30, 35, 35, 34, 36, 36, 28, 32, 31, 38, 38, 29, 35, 28, 38, 35, 30, 31, 37, 34]",32,12,3.075494977,30
28,32,34.84375,1,"[38, 34, 34, 38, 30, 36, 39, 35, 32, 34, 37, 30, 39, 33, 32, 35, 39, 39, 34, 31, 37, 30, 34, 39, 37, 38, 38, 38, 29, 35, 29, 32]",32,13,3.293291079,30
27,32,33.6875,1,"[38, 36, 30, 30, 28, 33, 34, 32, 36, 36, 37, 32, 33, 37, 36, 33, 29, 34, 37, 30, 36, 29, 34, 36, 35, 32, 32, 37, 35, 34, 35, 32]",32,14,2.740820456,30
27,31,33.53125,1,"[28, 34, 35, 39, 32, 31, 34, 35, 39, 33, 39, 35, 34, 35, 28, 28, 31, 36, 37, 29, 31, 35, 32, 36, 36, 28, 37, 37, 31, 32, 38, 28]",32,15,3.510209763,30
28,33,34.8125,0,"[31, 37, 39, 33, 33, 35, 39, 29, 32, 34, 38, 40, 33, 34, 36, 37, 33, 40, 38, 35, 30, 33, 30, 36, 35, 39, 35, 30, 39, 34, 33, 34]",32,16,3.136028925,30
27,32,34.28125,1,"[37, 37, 35, 34, 36, 28, 32, 39, 38, 36, 30, 32, 33, 35, 32, 34, 30, 32, 38, 35, 31, 31, 33, 36, 33, 30, 39, 37, 36, 35, 36, 37]",32,17,2.898657921,30
26,33,35.375,1,"[37, 39, 28, 34, 40, 33, 35, 39, 35, 35, 28, 37, 39, 39, 37, 36, 34, 39, 31, 38, 39, 39, 37, 33, 37, 35, 31, 36, 31, 37, 29, 35]",32,18,3.405403676,30
28,32,34.46875,1,"[32, 36, 31, 32, 33, 31, 33, 37, 38, 39, 38, 33, 35, 29, 37, 38, 30, 33, 38, 33, 33, 37, 37, 36, 29, 38, 34, 32, 31, 36, 35, 39]",32,19,3.02659582,30
27,31,33.31034483,1,"[34, 33, 36, 38, 31, 37, 30, 28, 33, 33, 32, 31, 34, 37, 37, 28, 39, 32, 37, 31, 30, 34, 35, 33, 37, 28, 30, 36, 32]",29,20,3.163445774,30
28,32,34.4375,1,"[39, 31, 38, 33, 38, 30, 33, 36, 32, 36, 37, 31, 39, 34, 38, 32, 37, 39, 34, 32, 35, 33, 35, 33, 39, 36, 30, 29, 35, 35, 31, 32]",32,21,3.004700618,30
28,33,35.65625,1,"[35, 34, 35, 35, 38, 38, 39, 35, 37, 40, 39, 39, 37, 37, 34, 40, 37, 40, 37, 34, 30, 35, 40, 35, 29, 29, 32, 30, 37, 37, 32, 35]",32,22,3.2289954,30
27,31,33.6875,1,"[37, 33, 35, 28, 32, 37, 39, 38, 37, 37, 35, 37, 35, 31, 34, 29, 32, 30, 35, 34, 31, 30, 34, 31, 38, 33, 38, 28, 28, 34, 32, 36]",32,23,3.257126182,24
27,33,35.9375,1,"[34, 32, 40, 39, 28, 37, 34, 36, 40, 35, 36, 40, 32, 36, 33, 38, 36, 40, 35, 39, 40, 39, 29, 35, 29, 39, 38, 33, 37, 39, 40, 32]",32,24,3.546352056,24
32,36,37.53125,1,"[40, 38, 36, 40, 39, 33, 40, 36, 39, 39, 36, 34, 38, 35, 36, 39, 36, 39, 41, 41, 38, 41, 38, 39, 35, 35, 34, 38, 39, 36, 37, 36]",32,25,2.214095242,24
34,38,39.4,1,"[40, 39, 41, 35, 42, 43, 42, 40, 40, 42, 40, 39, 36, 38, 38, 38, 42, 36, 39, 41, 40, 35, 43, 40, 39, 35, 42, 35, 43, 39]",30,26,2.540703134,24
27,31,33.90625,1,"[31, 31, 28, 36, 36, 33, 37, 32, 35, 34, 30, 33, 30, 28, 34, 37, 37, 38, 34, 35, 34, 29, 38, 32, 29, 39, 31, 38, 35, 37, 35, 39]",32,27,3.29573894,24
28,32,34.4375,1,"[31, 33, 38, 31, 36, 32, 39, 39, 39, 36, 35, 34, 35, 30, 32, 36, 35, 39, 35, 36, 32, 37, 36, 33, 36, 34, 30, 30, 30, 38, 32, 33]",32,28,2.917549789,24
27,32,34.96875,1,"[35, 39, 29, 39, 39, 34, 33, 28, 34, 36, 36, 36, 39, 37, 29, 35, 38, 36, 28, 39, 38, 29, 35, 29, 34, 32, 38, 38, 35, 38, 35, 39]",32,29,3.623261541,24
27,33,36,1,"[31, 28, 40, 39, 28, 35, 32, 39, 36, 34, 38, 36, 40, 39, 35, 37, 31, 40, 36, 35, 35, 39, 39, 37, 39, 37, 38, 35, 33, 39, 40, 32]",32,30,3.436051748,24
30,35,36.875,1,"[35, 37, 38, 36, 35, 38, 37, 32, 33, 38, 36, 36, 40, 40, 37, 40, 38, 37, 41, 36, 40, 32, 41, 32, 37, 41, 38, 35, 39, 40, 31, 34]",32,31,2.859618743,24
29,33,34.73333333,1,"[39, 34, 31, 35, 35, 33, 33, 33, 36, 34, 31, 30, 37, 36, 35, 40, 38, 36, 32, 39, 40, 36, 33, 35, 34, 31, 34, 38, 33, 31]",30,32,2.803118132,30
31,35,36.96875,1,"[34, 40, 38, 37, 38, 37, 35, 38, 38, 36, 38, 39, 39, 37, 32, 38, 33, 35, 38, 38, 37, 40, 38, 41, 32, 39, 33, 34, 39, 39, 36, 37]",32,33,2.362125546,30
