anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,frame
23,29,32.22580645,1,"[32, 30, 30, 29, 29, 31, 28, 31, 32, 38, 25, 36, 36, 37, 26, 31, 27, 35, 28, 30, 38, 26, 34, 37, 37, 33, 37, 37, 30, 37, 32]",31,1,4.005909613,30
24,29,31.96774194,1,"[32, 25, 26, 37, 31, 37, 33, 38, 30, 32, 27, 34, 35, 26, 25, 36, 31, 37, 29, 34, 29, 30, 29, 37, 36, 38, 30, 33, 25, 34, 35]",31,2,4.167204266,30
23,28,31.625,1,"[28, 30, 34, 36, 30, 31, 27, 34, 35, 30, 37, 28, 33, 27, 30, 35, 35, 24, 31, 24, 24, 37, 37, 34, 25, 30, 33, 34, 36, 34, 36, 33]",32,3,4.069952841,30
24,30,32.75,1,"[29, 37, 39, 34, 38, 34, 34, 37, 30, 37, 38, 35, 35, 28, 30, 36, 27, 36, 39, 32, 31, 31, 34, 27, 29, 29, 32, 30, 25, 29, 34, 32]",32,4,3.860469635,30
26,31,34.1875,1,"[36, 37, 34, 38, 39, 36, 34, 38, 28, 32, 34, 37, 32, 27, 39, 31, 35, 30, 35, 39, 39, 29, 32, 34, 39, 27, 35, 32, 39, 29, 37, 31]",32,5,3.822155278,30
25,30,32.53125,1,"[27, 30, 30, 36, 37, 33, 26, 37, 32, 36, 33, 29, 27, 32, 27, 30, 38, 32, 36, 32, 38, 37, 30, 32, 35, 36, 29, 32, 31, 36, 35, 30]",32,6,3.537671687,30
23,29,32.75,1,"[27, 27, 32, 34, 25, 36, 33, 37, 33, 36, 35, 26, 28, 29, 34, 38, 24, 36, 35, 38, 29, 31, 37, 38, 33, 37, 34, 33, 30, 37, 32, 34]",32,7,4.071933836,30
23,28,31,1,"[29, 33, 25, 35, 24, 33, 30, 30, 27, 32, 32, 28, 34, 37, 29, 28, 33, 25, 36, 37, 28, 31, 33, 28, 33, 36, 34, 34, 25, 26, 31, 36]",32,8,3.835319728,30
24,30,31.73333333,1,"[34, 34, 29, 33, 33, 32, 29, 36, 33, 25, 30, 34, 32, 29, 27, 29, 34, 36, 28, 25, 31, 32, 30, 36, 31, 35, 35, 29, 35, 36]",30,9,3.226328471,30
22,27,30.83333333,1,"[25, 27, 29, 34, 26, 32, 27, 36, 37, 27, 32, 31, 33, 28, 37, 28, 24, 31, 25, 25, 36, 36, 30, 33, 36, 37, 24, 36, 27, 36]",30,10,4.526423063,30
24,29,31.8125,1,"[37, 30, 29, 35, 32, 37, 33, 25, 30, 32, 34, 38, 28, 35, 30, 25, 31, 38, 29, 34, 32, 30, 33, 25, 38, 32, 30, 26, 36, 37, 32, 25]",32,11,4.067475241,30
23,29,31.875,1,"[30, 35, 35, 35, 26, 24, 26, 28, 37, 33, 35, 32, 30, 26, 26, 30, 36, 31, 30, 36, 38, 34, 33, 33, 30, 29, 31, 37, 30, 35, 36, 33]",32,12,3.790905926,30
23,28,31,1,"[32, 24, 30, 33, 33, 24, 30, 28, 33, 35, 36, 36, 34, 26, 25, 28, 33, 26, 31, 32, 35, 24, 29, 34, 36, 32, 36, 29, 28, 33, 30, 37]",32,13,3.934955015,30
24,29,32.58064516,1,"[31, 29, 37, 36, 36, 36, 33, 36, 33, 27, 25, 31, 34, 28, 25, 35, 33, 36, 31, 35, 33, 36, 33, 37, 30, 37, 36, 26, 38, 27, 30]",31,14,3.913857377,30
23,28,31.3125,0,"[24, 28, 36, 30, 31, 36, 37, 31, 34, 34, 36, 36, 28, 24, 24, 34, 37, 32, 35, 27, 25, 35, 35, 31, 28, 34, 30, 32, 28, 29, 36, 25]",32,15,4.238361674,30
22,27,30.21875,1,"[29, 34, 25, 26, 28, 37, 34, 35, 30, 23, 27, 30, 30, 29, 28, 23, 34, 32, 35, 28, 28, 24, 28, 36, 30, 28, 34, 32, 26, 37, 34, 33]",32,16,4.037999944,30
22,28,31,1,"[25, 35, 36, 30, 35, 36, 32, 37, 31, 27, 29, 32, 32, 37, 25, 35, 36, 24, 29, 28, 30, 37, 30, 30, 31, 32, 26, 32, 32, 28, 23, 30]",32,17,3.991927338,30
