anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,frame
0,24,27.36363636,1,"[31,31,33,28,37,33,30,33,27,28,31,35,26,30,22,25,23,23,27,28,26,28,21,29,28,30,20,22,21,30,24,23,25,28,29,21,33,27,30,31,20,26,20,31]",44,1,4.351374598,30
0,25,29.62790698,1,"[36,30,38,38,37,35,29,37,31,34,42,29,30,30,27,24,22,28,26,28,35,24,31,31,27,23,25,23,31,25,23,25,28,32,28,34,35,25,33,21,31,20,33]",43,2,5.232787001,30
0,24,28.02325581,1,"[37,25,35,33,34,33,24,35,20,28,43,30,27,33,25,23,20,27,30,27,31,23,35,30,26,21,23,28,24,23,23,23,25,31,30,31,30,32,31,28,23,20,25]",43,3,5.180036643,30
0,25,28.84090909,1,"[37,30,37,35,37,37,30,30,28,26,37,42,30,25,27,27,21,22,26,25,31,30,33,26,31,31,20,23,20,35,24,23,23,27,30,28,30,40,26,23,28,24,20,34]",44,4,5.652507909,30
0,26,30.07142857,1,"[38,33,37,43,34,35,31,37,30,26,43,30,30,34,30,29,22,29,30,29,31,28,32,30,23,22,23,26,34,23,25,31,34,25,37,34,28,31,20,22,23,31]",42,5,5.527725493,30
0,25,30.39534884,0,"[35,38,40,37,40,34,34,35,29,25,37,37,32,35,34,30,28,23,28,34,32,29,21,30,33,25,26,25,25,29,24,24,25,28,30,35,39,23,31,22,26,20,40]",43,6,5.678445188,30
0,24,27.77272727,1,"[38,36,35,31,26,32,31,35,20,31,36,40,29,25,28,27,25,21,25,33,26,26,24,31,28,30,21,22,20,27,25,22,24,28,38,27,31,30,23,26,20,23,20,26]",44,7,5.34773865,30
0,23,26.0952381,1,"[32,25,38,33,24,31,23,31,26,21,29,24,30,25,23,24,25,25,28,31,28,23,27,30,20,21,24,23,24,24,24,23,28,31,27,30,26,25,20,22,20,28]",42,8,3.998838391,30
0,23,27.6744186,1,"[38,22,41,39,24,35,27,34,24,25,41,27,30,28,30,23,21,27,27,23,27,20,27,35,30,22,25,22,26,26,22,26,24,36,24,30,39,23,22,20,24,20,34]",43,9,6.050269298,30
0,23,25.65909091,1,"[30,27,35,30,25,29,22,25,25,20,36,33,25,25,33,25,23,25,28,27,32,23,20,28,26,27,20,21,20,28,22,23,23,26,23,21,27,30,26,28,21,22,20,24]",44,10,4.164876289,30
0,23,26.79545455,1,"[33,24,38,35,30,36,28,30,28,32,35,36,28,23,31,23,26,23,25,30,28,25,21,27,29,27,20,21,20,27,26,23,24,24,27,25,25,23,24,23,21,26,20,29]",44,11,4.653478546,30
0,21,24.42857143,1,"[26,25,33,31,34,24,26,22,21,24,33,21,25,27,20,21,23,27,25,21,26,23,28,28,30,20,21,21,21,21,23,23,23,28,23,28,25,21,20,20,20,24]",42,12,3.851783604,30
0,23,26.35714286,1,"[37,29,33,33,28,34,28,28,28,24,33,34,27,30,28,25,26,23,23,28,31,28,20,26,30,30,20,21,23,24,23,22,23,23,27,25,23,27,20,20,22,20]",42,13,4.454766855,30
0,23,26.3255814,1,"[37,32,38,35,35,30,25,29,28,21,33,37,30,30,29,27,23,23,26,23,21,24,21,22,27,30,20,22,20,24,26,23,23,23,26,25,27,25,24,25,20,23,20,]",43,14,4.993905477,30
0,25,28.09302326,1,"[32,21,36,40,24,31,33,31,31,28,38,40,32,35,30,25,26,22,27,28,28,29,23,28,31,30,27,20,23,28,26,22,26,21,34,25,34,30,28,20,20,25,20,]",43,15,5.371059812,30
0,24,26.90909091,1,"[33,25,34,33,33,37,31,29,29,24,34,33,28,25,25,23,22,21,26,29,28,27,24,23,29,30,20,23,22,25,25,23,25,25,32,30,31,23,24,30,20,25,20,26]",44,16,4.360596193,30
0,25,27.92857143,1,"[31,33,34,35,28,34,28,31,27,21,35,34,29,30,30,27,25,21,27,27,27,24,32,29,31,27,22,21,28,28,26,23,25,26,31,34,38,27,25,20,22,20]",42,17,4.576679258,30
0,23,25.57142857,1,"[26,31,31,28,26,28,25,31,24,24,30,27,31,21,23,23,28,28,28,28,21,26,28,25,20,20,20,26,23,24,24,24,25,30,30,27,28,22,20,26,20,24]",42,18,3.401168072,30
0,22,25.21428571,1,"[26,21,33,34,29,35,25,25,20,24,33,29,27,28,27,26,22,25,27,26,24,22,27,25,30,20,20,20,23,26,23,23,23,25,26,25,26,20,20,20,20,29]",42,19,4.021501444,30
