anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,frame
0,24,28.76666667,1,"[27, 35, 36, 31, 23, 38, 28, 28, 35, 24, 30, 26, 34, 26, 28, 34, 25, 32, 31, 25, 27, 32, 24, 21, 35, 28, 23, 27, 21, 29]",30,1,4.658572619,30
0,24,30.03125,1,"[38, 32, 29, 25, 28, 26, 37, 38, 35, 35, 35, 23, 36, 24, 24, 34, 37, 30, 28, 34, 24, 25, 27, 34, 29, 22, 31, 31, 26, 35, 23, 26]",32,2,5.089422142,30
0,25,30.03125,1,"[35, 25, 30, 24, 37, 35, 32, 34, 21, 27, 23, 27, 33, 27, 36, 37, 30, 27, 34, 34, 29, 28, 37, 29, 31, 20, 27, 33, 26, 35, 38, 20]",32,3,5.23933248,30
0,24,29.96774194,1,"[37, 38, 28, 36, 34, 25, 36, 30, 24, 27, 32, 35, 31, 27, 37, 31, 30, 23, 29, 27, 28, 38, 29, 23, 21, 20, 28, 37, 37, 30, 21]",31,4,5.49232113,30
0,27,31.125,1,"[26, 28, 33, 30, 33, 28, 33, 26, 29, 30, 37, 21, 29, 38, 28, 37, 31, 36, 37, 32, 35, 35, 30, 37, 23, 29, 38, 22, 31, 24, 39, 31]",32,5,4.956260297,30
0,24,29.3125,0,"[27, 20, 20, 27, 32, 22, 34, 28, 20, 25, 24, 25, 29, 30, 38, 32, 28, 32, 36, 36, 34, 20, 28, 36, 26, 34, 37, 33, 25, 38, 28, 34]",32,6,5.625044803,30
0,25,30.125,1,"[36, 25, 32, 37, 36, 28, 29, 28, 31, 28, 29, 24, 26, 20, 32, 30, 23, 32, 30, 37, 35, 29, 30, 25, 29, 37, 34, 32, 32, 31, 32, 25]",32,7,4.316136265,30
0,23,29.5,1,"[31, 22, 26, 24, 23, 26, 22, 36, 25, 31, 37, 26, 37, 30, 37, 25, 30, 37, 34, 31, 22, 33, 33, 33, 27, 23, 35, 25, 30, 23, 36, 34]",32,8,5.248655742,30
0,24,30.3125,1,"[37, 22, 20, 34, 20, 23, 30, 32, 38, 28, 38, 37, 23, 27, 26, 30, 38, 21, 32, 33, 38, 26, 31, 34, 29, 33, 35, 29, 33, 27, 36, 30]",32,9,5.619307155,30
0,25,29.4375,1,"[30, 34, 26, 38, 29, 38, 26, 32, 25, 37, 28, 25, 21, 32, 22, 28, 30, 33, 27, 27, 27, 34, 27, 33, 24, 27, 36, 38, 26, 32, 29, 21]",32,10,4.898567928,30
0,23,28.15625,1,"[20, 20, 28, 36, 27, 27, 25, 37, 30, 22, 21, 34, 29, 24, 20, 27, 28, 32, 26, 26, 32, 23, 29, 29, 29, 29, 37, 33, 24, 36, 25, 36]",32,11,5.137524037,30
0,22,29.1875,1,"[22, 36, 22, 21, 32, 33, 27, 34, 32, 27, 25, 35, 33, 24, 36, 32, 21, 33, 37, 35, 35, 22, 25, 28, 34, 29, 21, 29, 28, 32, 31, 23]",32,12,5.232883002,30
0,23,28.96774194,1,"[24, 24, 24, 30, 25, 34, 22, 34, 37, 30, 20, 36, 27, 37, 24, 33, 20, 32, 30, 22, 34, 36, 37, 32, 21, 28, 36, 22, 29, 31, 27]",31,13,5.636097178,30
0,24,30.125,1,"[30, 29, 36, 37, 36, 26, 34, 35, 27, 33, 28, 20, 21, 32, 23, 26, 30, 32, 32, 26, 37, 20, 37, 21, 29, 23, 34, 37, 36, 37, 32, 28]",32,14,5.569212604,30
0,24,29.65625,1,"[27, 22, 37, 31, 26, 31, 25, 38, 36, 38, 29, 31, 32, 30, 24, 20, 27, 35, 21, 38, 33, 22, 38, 35, 31, 25, 24, 28, 37, 26, 25, 27]",32,15,5.603048565,30
0,25,30.6875,1,"[22, 38, 32, 31, 28, 32, 38, 38, 27, 35, 32, 35, 35, 33, 30, 26, 35, 29, 29, 20, 21, 30, 21, 23, 25, 31, 38, 32, 36, 37, 27, 36]",32,16,5.473911735,30
0,26,31.3125,1,"[25, 27, 30, 29, 34, 38, 33, 33, 21, 39, 34, 31, 28, 33, 20, 37, 28, 34, 34, 31, 38, 31, 21, 38, 34, 30, 23, 24, 36, 39, 32, 37]",32,17,5.497433419,30
0,23,29.1875,1,"[21, 21, 35, 23, 27, 28, 27, 26, 21, 35, 36, 33, 20, 30, 30, 26, 35, 37, 27, 29, 28, 34, 36, 25, 36, 22, 35, 24, 35, 25, 33, 34]",32,18,5.450288539,30
0,22,26.70967742,1,"[36, 30, 31, 21, 22, 25, 23, 36, 27, 30, 29, 20, 34, 25, 27, 24, 25, 30, 23, 25, 20, 33, 20, 26, 29, 33, 26, 25, 20, 24, 29]",31,19,4.70597881,30
0,23,28.71875,1,"[23, 21, 27, 34, 31, 25, 26, 26, 35, 26, 34, 28, 28, 35, 37, 20, 29, 25, 20, 34, 23, 35, 34, 34, 31, 36, 28, 26, 32, 26, 30, 20]",32,20,5.157108311,30
0,26,31.15625,0,"[39, 20, 38, 35, 39, 30, 35, 20, 38, 23, 32, 27, 32, 37, 34, 28, 21, 38, 34, 21, 33, 28, 32, 28, 37, 32, 32, 35, 26, 31, 29, 33]",32,21,5.691586178,30
0,23,28.25,1,"[30, 28, 32, 23, 34, 29, 26, 23, 37, 37, 23, 30, 27, 36, 30, 25, 25, 33, 25, 21, 30, 21, 29, 24, 24, 37, 21, 34, 27, 26, 28, 29]",32,22,4.846015989,30
0,26,32.90322581,1,"[32, 26, 36, 23, 33, 35, 35, 37, 33, 38, 24, 39, 35, 33, 30, 39, 23, 34, 38, 36, 37, 35, 38, 32, 32, 21, 28, 37, 29, 38, 34]",31,23,5.107868693,24
0,24,29.3125,1,"[34, 29, 28, 25, 29, 33, 26, 36, 28, 32, 37, 35, 34, 25, 20, 24, 23, 28, 38, 25, 28, 35, 21, 33, 36, 26, 29, 24, 25, 36, 24, 32]",32,24,5.089125028,24
0,25,31.09375,1,"[26, 28, 33, 32, 25, 30, 30, 37, 30, 38, 38, 33, 38, 26, 37, 37, 28, 30, 38, 25, 20, 22, 31, 21, 34, 29, 38, 36, 35, 37, 24, 29]",32,25,5.537900936,24
0,26,31.40625,1,"[26, 33, 20, 29, 32, 33, 37, 37, 32, 27, 39, 23, 27, 35, 26, 31, 33, 28, 26, 30, 39, 36, 33, 37, 37, 35, 22, 35, 31, 28, 31, 37]",32,26,5.047256521,24
0,23,29.1875,1,"[34, 26, 29, 32, 26, 25, 31, 35, 23, 26, 32, 28, 35, 29, 26, 20, 34, 34, 20, 23, 29, 27, 37, 35, 37, 21, 25, 34, 29, 36, 35, 21]",32,27,5.318485717,24
0,24,28.875,1,"[27, 24, 25, 27, 31, 36, 25, 26, 30, 36, 30, 22, 26, 33, 30, 22, 34, 25, 37, 29, 36, 27, 23, 21, 35, 31, 31, 38, 25, 31, 20, 31]",32,28,5.046557434,24
0,24,29.65625,1,"[37, 20, 35, 27, 22, 25, 21, 38, 32, 30, 25, 36, 35, 37, 23, 37, 29, 28, 30, 34, 22, 27, 27, 27, 36, 35, 26, 29, 21, 38, 25, 35]",32,29,5.778767449,24
