anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,frame
28,32,34.1,1,"[35, 37, 34, 35, 36, 39, 38, 38, 36, 29, 33, 29, 31, 36, 32, 36, 36, 31, 29, 34, 31, 35, 39, 35, 32, 32, 34, 35, 32, 34]",30,1,2.844838036,30
29,34,35.56666667,1,"[40, 38, 38, 32, 30, 36, 32, 34, 37, 35, 40, 34, 36, 39, 30, 40, 37, 34, 34, 39, 32, 38, 36, 34, 39, 37, 34, 35, 33, 34]",30,2,2.896886954,30
30,34,35.8125,1,"[34, 37, 40, 31, 39, 39, 37, 38, 36, 34, 31, 31, 39, 35, 36, 34, 37, 40, 36, 35, 34, 34, 36, 34, 40, 40, 34, 32, 32, 32, 40, 39]",32,3,2.977739996,30
28,32,34.6875,1,"[36, 37, 37, 37, 29, 35, 35, 35, 36, 36, 36, 30, 38, 29, 39, 33, 36, 37, 37, 39, 37, 33, 29, 33, 37, 35, 36, 32, 29, 29, 39, 34]",32,4,3.18704535,30
33,37,38.1875,1,"[41, 37, 40, 41, 38, 40, 34, 40, 38, 38, 38, 35, 39, 38, 41, 40, 39, 38, 39, 35, 35, 37, 39, 37, 40, 40, 41, 40, 37, 35, 37, 35]",32,5,2.070335799,30
29,33,35.59375,1,"[36, 33, 33, 37, 37, 37, 39, 31, 36, 37, 37, 30, 36, 37, 31, 40, 37, 33, 39, 40, 31, 35, 39, 33, 31, 33, 39, 40, 35, 35, 40, 32]",32,6,3.119753661,30
31,35,36.36666667,1,"[35, 36, 36, 41, 38, 38, 33, 39, 36, 36, 32, 37, 36, 32, 40, 36, 36, 40, 38, 33, 39, 32, 35, 33, 36, 39, 35, 39, 39, 36]",30,7,2.552663698,30
29,34,35.75,1,"[33, 37, 34, 35, 36, 38, 37, 39, 40, 40, 38, 38, 30, 38, 35, 33, 34, 37, 40, 34, 38, 36, 34, 38, 34, 40, 36, 37, 30, 30, 30, 35]",32,8,3.02676235,30
28,34,36.3125,1,"[31, 40, 37, 29, 40, 30, 37, 37, 40, 36, 40, 40, 34, 39, 38, 33, 40, 35, 31, 40, 39, 36, 40, 39, 36, 31, 34, 38, 35, 37, 34, 36]",32,9,3.345073412,30
30,35,36.9375,1,"[41, 38, 35, 37, 40, 37, 35, 35, 32, 37, 41, 38, 38, 37, 32, 40, 40, 32, 36, 34, 41, 40, 31, 31, 37, 38, 40, 35, 41, 36, 40, 37]",32,10,3.089393927,30
29,33,34.84375,1,"[34, 31, 38, 34, 32, 33, 36, 33, 34, 38, 37, 38, 37, 33, 34, 37, 34, 32, 33, 35, 37, 35, 40, 39, 34, 30, 30, 35, 38, 35, 32, 37]",32,11,2.616441501,30
28,34,35.5,0,"[36, 36, 37, 34, 30, 38, 34, 37, 37, 38, 32, 35, 37, 30, 39, 37, 33, 31, 36, 35, 31, 38, 35, 36, 40, 34, 40, 34, 37, 35, 40, 34]",32,12,2.770815648,30
28,32,33.96774194,1,"[32, 39, 34, 32, 33, 32, 29, 34, 37, 35, 38, 36, 33, 34, 38, 36, 36, 39, 33, 29, 34, 37, 38, 34, 29, 34, 31, 35, 30, 32, 30]",31,13,2.971911517,30
29,33,35.75,1,"[40, 33, 37, 38, 30, 38, 33, 37, 31, 33, 36, 35, 40, 34, 40, 33, 38, 38, 40, 40, 40, 37, 36, 31, 38, 39, 32, 33, 31, 37, 34, 32]",32,14,3.232895436,30
30,34,36.15625,1,"[35, 32, 32, 36, 40, 39, 40, 39, 36, 35, 37, 40, 36, 35, 36, 35, 33, 39, 31, 35, 37, 40, 33, 38, 40, 36, 33, 35, 35, 37, 34, 38]",32,15,2.616441501,30
31,35,37.09375,1,"[33, 39, 40, 38, 36, 37, 38, 41, 41, 35, 38, 35, 40, 32, 36, 40, 38, 38, 34, 35, 39, 32, 34, 40, 39, 35, 39, 35, 34, 37, 38, 41]",32,16,2.668325257,30
32,37,38.125,1,"[38, 40, 40, 38, 36, 33, 38, 41, 41, 38, 40, 33, 39, 37, 37, 38, 36, 40, 37, 41, 38, 40, 38, 41, 39, 38, 41, 38, 38, 36, 39, 33]",32,17,2.254028651,30
28,34,35.74193548,1,"[36, 39, 39, 36, 30, 38, 37, 35, 40, 32, 34, 34, 33, 39, 37, 36, 31, 34, 38, 31, 38, 39, 36, 30, 36, 34, 35, 40, 39, 34, 38]",31,18,2.954857492,30
